mes,date,ethereum,bitcoin,litecoin,monero,binance
Febrero,2021-02-18,1899.054837075,51744.93590121,229.89475072,264.04163095,181.365260075
Febrero,2021-02-19,1933.11578114,53525.46313421,231.059033985,268.936231605,269.132668415
Febrero,2021-02-20,1933.40901409,56065.893981825,231.29959161,267.496515235,281.18439904
Febrero,2021-02-21,1932.31385183,57001.590827565,227.065870025,252.238575865,279.06445596
Febrero,2021-02-22,1758.54016754,53250.47725684,204.881223925,220.932087945,259.248975225
Febrero,2021-02-23,1580.1249625,49747.76001198,184.027171475,198.152226325,229.474654265
Febrero,2021-02-24,1611.001379115,49251.817428325,179.47723409,211.87203681,247.3064549
Febrero,2021-02-25,1567.641503855,49521.410000705,190.3879935,207.91554619,249.295544895
Febrero,2021-02-26,1483.50407209,46412.813686815,172.66204612,205.73146127,224.532886535
Febrero,2021-02-27,1479.35967817,46761.14793347501,173.91933032999998,213.49284413,228.639418025
Febrero,2021-02-28,1384.43181344,44979.024609775006,163.72298381000002,213.05685026,212.012857825
Marzo,2021-03-01,1492.055370485,47449.55420216,170.160797035,220.646053515,234.721182805
Marzo,2021-03-02,1529.467793755,48678.17761476,177.9650665,222.138790665,246.405477145
Marzo,2021-03-03,1566.1331653349998,50404.72814034,186.812723445,222.716002175,245.5811912
Marzo,2021-03-04,1567.028643645,49696.01004948,185.778297315,217.043644595,237.775278195
Marzo,2021-03-05,1499.38476334,47969.472901265,176.214847755,210.401408335,223.31962513
Marzo,2021-03-06,1594.123817075,48202.37256366,179.8675171,203.350786355,226.086982825
Marzo,2021-03-07,1683.74430819,50151.523137575,187.096289945,206.356023395,234.44475440500003
Marzo,2021-03-08,1753.06705272,50910.061129525,187.34380223,212.692451855,236.064694175
Marzo,2021-03-09,1836.15759811,53402.974561805,197.085163195,223.715004955,266.354444735
Marzo,2021-03-10,1820.14686746,55274.57307222,199.98742959,221.50427955,281.82455993
Marzo,2021-03-11,1789.21797904,56287.82789603,197.352333335,219.67667092,293.24402411
Marzo,2021-03-12,1784.239106205,56686.634789135,211.28440862,221.3285002,271.99070504
Marzo,2021-03-13,1835.642716135,58950.918197815,221.492662045,228.47390842,269.601291545
Marzo,2021-03-14,1887.949866445,60450.117686625,221.56311633,234.974236905,270.503994635
Marzo,2021-03-15,1819.4014491,57967.079037195,210.21947513,226.866402675,258.92335196
Marzo,2021-03-16,1768.5566831,55194.10375764,198.52809517,221.49609268,250.52883456
Marzo,2021-03-17,1794.499484865,56749.22175623,200.65665342,233.378236415,260.445906795
Marzo,2021-03-18,1777.181062085,57184.914824535,204.09970471,233.05208035,268.24932564999995
Marzo,2021-03-19,1793.83471427,58071.038973045,201.148748555,232.331506245,262.75399179
Marzo,2021-03-20,1843.21884646,59122.292169025,203.437539215,235.414923085,268.92284212000004
Marzo,2021-03-21,1793.74614794,57386.75689943,198.172374395,231.389796505,263.19822158
Marzo,2021-03-22,1743.134010815,56379.818337665,192.759369435,228.322485975,266.089782425
Marzo,2021-03-23,1693.82434779,54728.06676039,186.326064425,219.117012695,258.080463615
Marzo,2021-03-24,1655.60810039,54888.35816568,186.590046035,220.157016045,255.924501835
Marzo,2021-03-25,1593.14100819,52124.477343365,174.38145142500002,214.530285385,238.71664933
Marzo,2021-03-26,1648.8297748599998,53358.584391444994,178.59064706499998,221.351498705,244.947751485
Marzo,2021-03-27,1703.5718686,55405.562862895,182.83107689,219.318969955,263.044096965
Marzo,2021-03-28,1700.62226418,55840.711981015,184.707897235,224.45641499,271.640536785
Marzo,2021-03-29,1760.45231356,56740.719085105,190.48194601,236.882095805,271.42341822000003
Marzo,2021-03-30,1827.448530325,58349.38731804,195.63674796,241.802758845,291.50252752999995
Marzo,2021-03-31,1870.419990815,58828.22296723,194.38684883,251.841316325,302.74789705
